Complexity,Loss,Equation
1,0.24782205,"0.5466985"
3,0.24510187,"11.581049 / x4"
4,0.16366056,"exp(x4 / -70.37629)"
5,0.1538908,"1.1070021 - (x4 * 0.010879021)"
6,0.10135812,"exp(x1 * (x4 / -30159.336))"
8,0.07728008,"exp(x4 * ((x4 * x1) / -1.5287245e6))"
10,0.07213308,"exp((x4 * (x4 * x1)) / -1.2847699e6) / 0.876368"
11,0.06346089,"sin(exp(((x4 * x1) * x4) / -821028.06) / 0.5046019)"
13,0.06300537,"sin((exp((x4 * (x1 / -854958.9)) * x4) / 0.49419248) - 0.040063288)"
14,0.06258977,"sin(exp((x4 * x4) * (x1 / -728902.8)) / (inv(x4) + 0.4234452))"
15,0.062309198,"x2 + sin((exp(((x4 * x1) / -826239.06) * x4) / 0.48412457) - 0.052765485)"
16,0.06223248,"sin(exp((x4 * (x1 / -728902.8)) * x4) / (inv(x4) + 0.4288715)) + x2"
17,0.062000107,"(x2 + sin((exp((x4 * (x4 * x1)) / -826239.06) / 0.47836927) - 0.07452647)) + x2"
18,0.06199967,"sin((exp((x4 / -826239.06) * (x4 * x1)) / 0.47839633) - 0.0745085) + sin(x2 + x2)"
19,0.0619872,"(x2 + x2) + sin((exp((x4 * (x4 / -826239.06)) * (x1 - 0.26638478)) / 0.47841984) - 0.07446977)"
20,0.06198611,"(x2 + sin((exp((x4 * (x1 * x4)) / -826239.06) / 0.47828016) - (0.07609829 / exp(x3)))) + x2"
