Complexity,Loss,Equation
1,0.93085694,"5.343056"
3,0.41033983,"48.549183 - x1"
4,0.40228572,"2341.118 - square(x1)"
5,0.19142857,"24873.912 - (x1 * x0)"
6,0.15371457,"1109.2439 - (x1 * sqrt(x0))"
8,0.14886642,"(x1 * (1.5962102 - sqrt(x0))) + 984.26636"
10,0.14736463,"((sqrt(x0) + -0.963555) * (-4.393034 - x1)) + 1134.851"
12,0.14628571,"x0 * (((-0.96475667 + sqrt(x0)) * (-4.363318 - x1)) + 1134.8801)"
17,0.1434286,"(((x1 * (1.4777285 - sqrt(x0))) + 992.6766) * square(x1 - (x0 + 3.324193))) - 7.736988"
18,0.14342856,"(square((x0 - x1) + 3.285215) * ((x1 * (1.4787751 - sqrt(x0))) + 992.6677)) - sqrt(x0)"
