Complexity,Loss,Equation
1,0.93314284,"x5"
3,0.5531918,"x5 - x1"
5,0.4469899,"x0 - exp(sqrt(x4))"
6,0.23839921,"(x0 / sqrt(x1)) - x4"
8,0.22525159,"((x0 + x4) / sqrt(x1)) - x4"
9,0.21047203,"x0 + ((sqrt(x4) - x4) * sqrt(x1))"
10,0.1371583,"(x5 / (x4 / (x5 / sqrt(x4)))) - x1"
12,0.13339184,"((x5 + x4) / (sqrt(x4) / (x5 / x4))) - x1"
13,0.13022165,"(x5 / (sqrt(x4) / ((sqrt(x1) + x5) / x4))) - x1"
14,0.12344396,"(x5 / (sqrt(x4) / ((x5 / x0) + (x5 / x4)))) - x1"
15,0.12241249,"sqrt(x1 + x1) + ((x5 / (x4 / (x5 / sqrt(x4)))) - x1)"
16,0.12171429,"(((x5 / (sqrt(x4) / (x5 / x4))) - x1) * x0) + (x1 * x4)"
17,0.12114286,"((x5 / (sqrt(x4) / (sqrt(sqrt(sqrt(x3))) + (x5 / x4)))) - x1) * x4"
18,0.12057143,"(x4 * ((x5 / (sqrt(x4) / ((x5 / x0) + (x5 / x4)))) - x1)) + x1"
19,0.115408346,"((x4 - inv(x2)) + (x0 / (sqrt(x4) / (x5 / x4)))) - (x1 * (x0 / x5))"
21,0.114857145,"(((x0 * ((x5 / (sqrt(x4) / (x5 / x4))) - x1)) / x5) + (x4 - inv(x2))) * x4"
22,0.11454813,"((x0 / (sqrt(x4) / (x5 / x4))) - (x1 * (x0 / x5))) + (x4 - inv(square(x3) + x2))"
23,0.114510596,"((x0 / (sqrt(x4) / (x5 / x4))) - (x1 * (x0 / x5))) + (x4 - inv((x3 / x4) + x2))"
24,0.09428571,"x0 / (((3.1412845 / (sqrt(x4) / x5)) / x1) + (sqrt(x2 + x3) - sqrt(sqrt(x4 / x1))))"
28,0.093548775,"(x1 * ((sqrt(x3 + x2) + ((3.122561 / (sqrt(x4) / x5)) / x1)) - sqrt(sqrt(x4 / x1)))) + (x3 / x2)"
30,0.090717375,"((x3 / x2) + ((((3.1302044 / (sqrt(x4) / x5)) / x1) + (sqrt(x2 + x3) - sqrt(sqrt(x4 / x1)))) * x1)) / x3"
32,0.09028571,"x0 * (((x3 / x2) + (x1 * ((((3.1302497 / (sqrt(x4) / x5)) / x1) + sqrt(x3 + x2)) - sqrt(sqrt(x4 / x1))))) - x3)"
34,0.08971429,"(x4 * (((x3 / x2) + (x1 * ((sqrt(x2 + x3) + ((3.1344314 / (sqrt(x4) / x5)) / x1)) - sqrt(sqrt(x4 / x1))))) * x4)) - x1"
38,0.088564664,"((x1 * (x4 * (x5 / x1))) * ((sqrt(x3 + x2) + ((3.1417937 / (sqrt(x4) / x5)) / x1)) - sqrt(sqrt(x4 / x1)))) - inv(square(x2 + (x4 * x3)))"
40,0.087923005,"(x4 * ((x5 / x1) * ((x3 / x2) + (x1 * ((sqrt(x3 + x2) + ((3.1344314 / (sqrt(x4) / x5)) / x1)) - sqrt(sqrt(x4 / x1))))))) - square(inv(x3 * x4))"
42,0.085128695,"(((((((((3.128515 / (sqrt(x4) / x5)) / x1) - sqrt(sqrt(x4 / x1))) + sqrt(x3 + x2)) * x1) + (x3 / x2)) * x5) / x1) * x4) - square(inv((x3 * x4) + x2))"
44,0.084573165,"((((x3 / x2) + ((sqrt(x2 + x3) + (((3.137348 / ((x3 + sqrt(x4)) / x5)) / x1) - sqrt(sqrt(x4 / x1)))) * x1)) * (x5 / x1)) * x4) - inv(square(x2 + (x4 * x3)))"
46,0.08342857,"(((((((x3 / x2) + (x1 * (sqrt(x2 + x3) + (((3.1344314 / (sqrt(x4) / x5)) / x1) - sqrt(sqrt(x4 / x1)))))) * x4) * x5) / x1) - square(inv((x3 * x4) + x2))) * x4) - x5"
