Complexity,Loss,Equation
1,0.9396349,"5.342835"
3,0.40890154,"48.14323 - x1"
4,0.4038009,"2276.221 - square(x1)"
5,0.19418181,"24674.562 - (x1 * x0)"
7,0.16654545,"24990.107 - (x1 * (x0 + x1))"
8,0.15927273,"6581.5317 - (x0 * (square(x1) / 188.90881))"
10,0.15783021,"4622.228 - (x0 * ((square(x1) / 287.4543) + 0.98792297))"
11,0.15636392,"(x0 * (cos(x0) - (square(x1) / 233.443))) + 5384.2373"
12,0.152,"5379.5327 + ((sin(tan(x1)) - (square(x1) / 217.81924)) * x0)"
13,0.14545454,"((sin(x1 - x0) - (square(x1) / 329.21786)) * x0) + 3709.136"
16,0.14050843,"(x0 * (sin(cube(x0 - 0.20223796)) - (square(x1) / 356.0511))) + (3625.3577 - x0)"
17,0.14045936,"cube((x0 * (sin(cube(x0 - 0.20223796)) - (square(x1) / 356.0511))) + (3625.3577 - x0))"
18,0.13236368,"((sin(-1.1440817 - cube(x0 - 0.9961241)) - (square(x1) / 356.0511)) * x0) + (3620.294 - x0)"
19,0.13236363,"cube(((sin(-1.1440817 - cube(x0 - 0.9961241)) - (square(x1) / 356.0511)) * x0) + (3619.432 - x0))"
21,0.13163637,"cube((x0 * (sin(sin(cube(x0)) - cube(x0 - 0.9961241)) - (square(x1) / 356.0511))) + (3619.432 - x0))"
22,0.13090909,"cube((x0 * (sin(sin(cube(square(x1))) - cube(x0 - 0.9961241)) - (square(x1) / 356.0511))) + (3619.432 - x0))"
24,0.13018182,"cube(((sin((sin(cube(x0)) - sin(x1)) - cube(x0 - 0.9961241)) - (square(x1) / 356.0511)) * x0) + (3619.432 - x0))"
27,0.12945454,"cube((3619.432 + (x0 * (sin(((sin(cube(x0)) - sin(x1)) - sin(0.13862221)) - cube(x0 - 0.9961241)) - (square(x1) / 356.0511)))) - x0)"
31,0.12564723,"(x0 * (cos(cube(square(0.9983301 - cube(x1)))) + (((log((74.96185 / (x1 + x0)) / 0.536404) * (x1 - 0.99001926)) - -57.78571) / 8.105602))) - tan(x1 + 0.053133823)"
32,0.12393814,"((cos(cube(square(0.99833417 - cube(x1)))) + ((((x1 - 0.99972206) * log((74.96185 / (x1 + x0)) / 0.53640383)) - -57.78571) / 8.105603)) * x0) - tan(sqrt(x1 * 0.024839023))"
34,0.122947454,"((cos(cube(square(0.9983296 - cube(x1)))) + ((((x1 - 0.9803147) * log((74.96185 / (x1 + x0)) / 0.5364042)) - -57.78571) / 8.105602)) * (x0 * 1.5404027)) - tan(sqrt(x1 * 0.024841867))"
36,0.12224534,"(x0 * ((((log((74.96185 / (x1 + x0)) / 0.536404) * (x1 - 0.99001926)) - -57.78571) / 8.105602) + cos(cube(square(0.9983301 - cube(x1)))))) - (tan(x1 + 0.053133823) - tan(0.96070164 - x1))"
37,0.12073175,"((cos(cube(square(0.9983296 - cube(x1)))) + (((log((74.96185 / (x0 + x1)) / 0.5364042) * (x1 - 0.9983296)) - -57.78571) / 8.105602)) * x0) - (tan(sqrt(x1 * 0.02483676)) - tan(0.9607016 - x1))"
39,0.119287595,"((cos(cube(square(cube(x1) - 0.9983296))) + (((log((74.96185 / (x1 + x0)) / 0.5364042) * (x1 - 0.99034375)) - -57.78571) / 8.105602)) * x0) - (tan(0.9607016 - (x0 * -57.78571)) + tan(sqrt(x1 * 0.02483676)))"
41,0.11760261,"((x0 * (((((x1 - 0.9983323) * log((74.96185 / (x0 + x1)) / 0.53640366)) - -57.78571) / 8.105602) + cos(cube(square(0.9983323 - cube(x1)))))) - tan(-0.44222593 - (0.99001926 * x1))) - tan(sqrt((x1 + 0.013340189) * 0.024835175))"
