Complexity,Loss,Equation
1,0.94836366,"x4"
3,0.552049,"x4 - x0"
5,0.53799456,"(x4 - x0) - x3"
6,0.430948,"48.485832 - x3"
8,0.26475528,"(x4 - x0) + square(x0 / x3)"
9,0.25092176,"x4 - (x0 / exp(x0 / square(x3)))"
10,0.13474767,"(x4 * (x4 / (x0 * sqrt(x3)))) - x3"
12,0.13105367,"(x4 * (x4 / ((x0 * sqrt(x3)) - x3))) - x3"
13,0.13030419,"((x4 * x4) / (sqrt(x3) * (x0 - sqrt(x0)))) - x3"
14,0.12872763,"(((x4 * (x4 / (sqrt(x3) * x0))) - x3) * x4) + x0"
16,0.12581863,"((x4 * (sqrt(x3 / 0.8254593) / x0)) * x4) - square(x3)"
17,0.11923859,"((((x4 + x0) / (sqrt(x3) * 0.12883647)) - x0) - x0) - x3"
19,0.11709393,"(((((x0 + x4) / (sqrt(x3) * 0.12875162)) - x3) - x0) - x0) / x2"
21,0.11709091,"(x0 * (((((x0 + x4) / (sqrt(x3) * 0.12883647)) - x3) - x0) - x0)) + x0"
23,0.11636364,"x0 + (((((((x0 + x4) / (sqrt(x3) * 0.13020341)) - x3) - x0) - x0) / x2) + x0)"
24,0.112149745,"(((((x4 + ((x0 + x4) / (0.13159028 * sqrt(x3)))) * exp(x1)) - x0) - x0) - x4) - x3"
26,0.10763636,"x0 + (((((((x0 + x4) / (0.13237117 * sqrt(x3))) - x3) - x0) - x0) / x2) / 4.6488433)"
28,0.090940595,"((0.14525671 / (x1 + x2)) * (((((x0 + x4) / sqrt(0.020202506 * x3)) - x3) - x0) - x0)) + x0"
30,0.09090909,"(((((((x4 + x0) / sqrt(0.020202506 * x3)) - x3) - x0) - x0) * (0.14525671 / (x1 + x2))) + x0) * x3"
31,0.09018546,"sqrt(x4) + ((((((((x4 + x0) / sqrt(x3 * 0.020202383)) - x3) - x0) - x0) / (x2 + x1)) * 0.14525674) + x0)"
32,0.08945458,"((((((x4 * x2) - x0) - x0) + (((x0 + x4) / sqrt(0.020202506 * x3)) - x3)) * 0.14525671) / (x1 + x2)) + x0"
33,0.08945455,"((x0 + (((((((x0 + x4) / sqrt(x3 * 0.019543529)) - x3) - x0) - x0) * 0.1713033) / (x1 + x2))) + sqrt(x0)) * x0"
35,0.08872727,"(((x1 + (0.12468843 * (((((x0 + x4) / sqrt(x3 * 0.021438414)) - x3) - x0) - x0))) / (x1 + x2)) + (x0 + sqrt(x4))) * x4"
37,0.088,"x4 * ((x0 + ((x1 + (0.12468843 * (((((x0 + x4) / sqrt(0.021438414 * x3)) - x3) - x0) - x0))) / (x1 + x2))) + sqrt(x4 + x3))"
